time,pm10,pm2_5,carbon_monoxide,ozone,sulphur_dioxide,nitrogen_dioxide,hour,day,month,pm10_lag1,pm10_lag2,pm10_lag3,pm2_5_lag1,pm2_5_lag2,pm2_5_lag3,carbon_monoxide_lag1,carbon_monoxide_lag2,carbon_monoxide_lag3,ozone_lag1,ozone_lag2,ozone_lag3,sulphur_dioxide_lag1,sulphur_dioxide_lag2,sulphur_dioxide_lag3,nitrogen_dioxide_lag1,nitrogen_dioxide_lag2,nitrogen_dioxide_lag3,pm10_roll_mean_3h,pm10_roll_max_3h,pm10_roll_min_3h,pm10_roll_mean_6h,pm10_roll_max_6h,pm10_roll_min_6h,pm10_roll_mean_24h,pm10_roll_max_24h,pm10_roll_min_24h,pm2_5_roll_mean_3h,pm2_5_roll_max_3h,pm2_5_roll_min_3h,pm2_5_roll_mean_6h,pm2_5_roll_max_6h,pm2_5_roll_min_6h,pm2_5_roll_mean_24h,pm2_5_roll_max_24h,pm2_5_roll_min_24h,carbon_monoxide_roll_mean_3h,carbon_monoxide_roll_max_3h,carbon_monoxide_roll_min_3h,carbon_monoxide_roll_mean_6h,carbon_monoxide_roll_max_6h,carbon_monoxide_roll_min_6h,carbon_monoxide_roll_mean_24h,carbon_monoxide_roll_max_24h,carbon_monoxide_roll_min_24h,ozone_roll_mean_3h,ozone_roll_max_3h,ozone_roll_min_3h,ozone_roll_mean_6h,ozone_roll_max_6h,ozone_roll_min_6h,ozone_roll_mean_24h,ozone_roll_max_24h,ozone_roll_min_24h,sulphur_dioxide_roll_mean_3h,sulphur_dioxide_roll_max_3h,sulphur_dioxide_roll_min_3h,sulphur_dioxide_roll_mean_6h,sulphur_dioxide_roll_max_6h,sulphur_dioxide_roll_min_6h,sulphur_dioxide_roll_mean_24h,sulphur_dioxide_roll_max_24h,sulphur_dioxide_roll_min_24h,nitrogen_dioxide_roll_mean_3h,nitrogen_dioxide_roll_max_3h,nitrogen_dioxide_roll_min_3h,nitrogen_dioxide_roll_mean_6h,nitrogen_dioxide_roll_max_6h,nitrogen_dioxide_roll_min_6h,nitrogen_dioxide_roll_mean_24h,nitrogen_dioxide_roll_max_24h,nitrogen_dioxide_roll_min_24h,target_pm2_5
2023-08-17 23:00:00,31.3,14.8,99.0,35.0,2.5,3.8,23,17,8,31.7,33.6,34.1,15.3,16.2,16.2,102.0,109.0,121.0,35.0,35.0,34.0,2.5,2.5,2.6,4.1,4.7,5.9,32.2,33.6,31.3,32.96666666666667,34.1,31.3,34.24583333333333,41.9,28.5,15.433333333333332,16.2,14.8,15.583333333333334,16.2,14.8,14.129166666666668,16.2,12.3,103.33333333333331,109.0,99.0,119.16666666666669,148.0,99.0,139.41666666666666,178.0,99.0,35.0,35.0,35.0,33.666666666666664,35.0,31.0,39.29166666666666,55.0,31.0,2.5,2.5,2.5,2.65,3.0,2.5,3.1291666666666664,3.8,2.5,4.200000000000001,4.7,3.8,5.816666666666666,8.8,3.8,5.791666666666667,9.8,2.4,15.0
2023-08-18 00:00:00,34.1,15.0,103.0,36.0,2.7,3.9,0,18,8,31.3,31.7,33.6,14.8,15.3,16.2,99.0,102.0,109.0,35.0,35.0,35.0,2.5,2.5,2.5,3.8,4.1,4.7,32.36666666666667,34.1,31.3,33.050000000000004,34.1,31.3,34.479166666666664,41.9,29.0,15.033333333333331,15.3,14.8,15.5,16.2,14.8,14.241666666666667,16.2,12.3,101.33333333333331,103.0,99.0,111.66666666666669,136.0,99.0,139.20833333333334,178.0,99.0,35.333333333333336,36.0,35.0,34.5,36.0,32.0,39.29166666666666,55.0,31.0,2.566666666666667,2.7,2.5,2.6,2.8,2.5,3.1166666666666667,3.8,2.5,3.933333333333334,4.1,3.8,5.0,7.6,3.8,5.770833333333333,9.8,2.4,14.6
2023-08-18 01:00:00,34.2,14.6,123.0,35.0,2.9,5.0,1,18,8,34.1,31.3,31.7,15.0,14.8,15.3,103.0,99.0,102.0,36.0,35.0,35.0,2.7,2.5,2.5,3.9,3.8,4.1,33.2,34.2,31.3,33.166666666666664,34.2,31.3,34.69583333333333,41.9,31.2,14.8,15.0,14.6,15.35,16.2,14.6,14.320833333333333,16.2,12.3,108.33333333333331,123.0,99.0,109.5,123.0,99.0,138.91666666666666,178.0,99.0,35.333333333333336,36.0,35.0,35.0,36.0,34.0,39.333333333333336,55.0,31.0,2.7000000000000006,2.9,2.5,2.6166666666666667,2.9,2.5,3.1041666666666665,3.8,2.5,4.233333333333334,5.0,3.8,4.566666666666666,5.9,3.8,5.741666666666667,9.8,2.4,15.1
2023-08-18 02:00:00,36.8,15.1,150.0,34.0,3.2,6.5,2,18,8,34.2,34.1,31.3,14.6,15.0,14.8,123.0,103.0,99.0,35.0,36.0,35.0,2.9,2.7,2.5,5.0,3.9,3.8,35.03333333333333,36.8,34.1,33.61666666666667,36.8,31.3,34.92916666666667,41.9,31.2,14.9,15.1,14.6,15.166666666666666,16.2,14.6,14.3875,16.2,12.3,125.33333333333331,150.0,103.0,114.33333333333331,150.0,99.0,138.5,178.0,99.0,35.0,36.0,34.0,35.0,36.0,34.0,39.41666666666666,55.0,31.0,2.9333333333333336,3.2,2.7,2.716666666666667,3.2,2.5,3.0875000000000004,3.8,2.5,5.133333333333334,6.5,3.9,4.666666666666667,6.5,3.8,5.704166666666667,9.8,2.4,15.3
2023-08-18 03:00:00,42.7,15.3,167.0,36.0,3.4,7.1,3,18,8,36.8,34.2,34.1,15.1,14.6,15.0,150.0,123.0,103.0,34.0,35.0,36.0,3.2,2.9,2.7,6.5,5.0,3.9,37.900000000000006,42.7,34.2,35.13333333333333,42.7,31.3,35.24166666666667,42.7,31.2,15.0,15.3,14.6,15.016666666666667,15.3,14.6,14.445833333333336,16.2,12.3,146.66666666666666,167.0,123.0,124.0,167.0,99.0,138.04166666666666,171.0,99.0,35.0,36.0,34.0,35.166666666666664,36.0,34.0,39.54166666666666,55.0,31.0,3.1666666666666665,3.4,2.9,2.8666666666666667,3.4,2.5,3.0708333333333333,3.8,2.5,6.2,7.1,5.0,5.066666666666666,7.1,3.8,5.6625000000000005,9.8,2.4,15.3
2023-08-18 04:00:00,49.2,15.3,163.0,42.0,3.4,6.1,4,18,8,42.7,36.8,34.2,15.3,15.1,14.6,167.0,150.0,123.0,36.0,34.0,35.0,3.4,3.2,2.9,7.1,6.5,5.0,42.9,49.2,36.8,38.05,49.2,31.3,35.6375,49.2,31.2,15.233333333333334,15.3,15.1,15.016666666666667,15.3,14.6,14.520833333333334,16.2,12.3,160.0,167.0,150.0,134.16666666666666,167.0,99.0,137.70833333333334,167.0,99.0,37.333333333333336,42.0,34.0,36.333333333333336,42.0,34.0,39.708333333333336,55.0,31.0,3.333333333333333,3.4,3.2,3.016666666666667,3.4,2.5,3.0541666666666667,3.6,2.5,6.566666666666667,7.1,6.1,5.4,7.1,3.8,5.629166666666666,9.8,2.4,15.9
2023-08-18 05:00:00,52.7,15.9,148.0,50.0,3.4,4.3,5,18,8,49.2,42.7,36.8,15.3,15.3,15.1,163.0,167.0,150.0,42.0,36.0,34.0,3.4,3.4,3.2,6.1,7.1,6.5,48.20000000000001,52.7,42.7,41.61666666666667,52.7,34.1,36.0875,52.7,31.2,15.5,15.9,15.3,15.2,15.9,14.6,14.625,16.2,12.3,159.33333333333334,167.0,148.0,142.33333333333334,167.0,103.0,137.58333333333334,167.0,99.0,42.66666666666666,50.0,36.0,38.833333333333336,50.0,34.0,39.875,55.0,31.0,3.4,3.4,3.4,3.1666666666666665,3.4,2.7,3.045833333333333,3.5,2.5,5.833333333333335,7.1,4.3,5.483333333333333,7.1,3.9,5.608333333333333,9.8,2.4,16.6
2023-08-18 06:00:00,57.9,16.6,136.0,57.0,3.3,3.0,6,18,8,52.7,49.2,42.7,15.9,15.3,15.3,148.0,163.0,167.0,50.0,42.0,36.0,3.4,3.4,3.4,4.3,6.1,7.1,53.26666666666667,57.9,49.2,45.583333333333336,57.9,34.2,36.75833333333333,57.9,31.2,15.933333333333332,16.6,15.3,15.466666666666669,16.6,14.6,14.758333333333336,16.6,12.3,149.0,163.0,136.0,147.83333333333334,167.0,123.0,137.58333333333334,167.0,99.0,49.66666666666666,57.0,42.0,42.333333333333336,57.0,34.0,40.083333333333336,57.0,31.0,3.3666666666666667,3.4,3.3,3.266666666666667,3.4,2.9,3.0375,3.4,2.5,4.466666666666668,6.1,3.0,5.333333333333333,7.1,3.0,5.604166666666667,9.8,2.4,16.9
2023-08-18 07:00:00,58.8,16.9,133.0,60.0,3.3,2.5,7,18,8,57.9,52.7,49.2,16.6,15.9,15.3,136.0,148.0,163.0,57.0,50.0,42.0,3.3,3.4,3.4,3.0,4.3,6.1,56.46666666666667,58.8,52.7,49.68333333333334,58.8,36.8,37.525,58.8,31.2,16.46666666666667,16.9,15.9,15.85,16.9,15.1,14.916666666666666,16.9,12.3,139.0,148.0,133.0,149.5,167.0,133.0,137.66666666666666,167.0,99.0,55.66666666666666,60.0,50.0,46.5,60.0,34.0,40.333333333333336,60.0,31.0,3.333333333333333,3.4,3.3,3.333333333333333,3.4,3.2,3.033333333333333,3.4,2.5,3.266666666666668,4.3,2.5,4.916666666666667,7.1,2.5,5.604166666666667,9.8,2.4,16.6
2023-08-18 08:00:00,58.0,16.6,134.0,62.0,3.2,2.5,8,18,8,58.8,57.9,52.7,16.9,16.6,15.9,133.0,136.0,148.0,60.0,57.0,50.0,3.3,3.3,3.4,2.5,3.0,4.3,58.23333333333333,58.8,57.9,53.21666666666667,58.8,42.7,38.41666666666666,58.8,31.2,16.7,16.9,16.6,16.1,16.9,15.3,15.091666666666669,16.9,12.3,134.33333333333334,136.0,133.0,146.83333333333334,167.0,133.0,137.79166666666666,167.0,99.0,59.66666666666666,62.0,57.0,51.16666666666666,62.0,36.0,40.625,62.0,31.0,3.266666666666666,3.3,3.2,3.333333333333333,3.4,3.2,3.0333333333333337,3.4,2.5,2.666666666666668,3.0,2.5,4.25,7.1,2.5,5.608333333333333,9.8,2.5,16.5
2023-08-18 09:00:00,54.9,16.5,136.0,61.0,3.2,2.8,9,18,8,58.0,58.8,57.9,16.6,16.9,16.6,134.0,133.0,136.0,62.0,60.0,57.0,3.2,3.3,3.3,2.5,2.5,3.0,57.23333333333333,58.8,54.9,55.25,58.8,49.2,39.1875,58.8,31.2,16.666666666666668,16.9,16.5,16.3,16.9,15.3,15.262499999999998,16.9,12.3,134.33333333333334,136.0,133.0,141.66666666666666,163.0,133.0,137.91666666666666,167.0,99.0,61.0,62.0,60.0,55.333333333333336,62.0,42.0,40.91666666666666,62.0,31.0,3.233333333333334,3.3,3.2,3.3000000000000003,3.4,3.2,3.0375,3.4,2.5,2.600000000000001,2.8,2.5,3.5333333333333328,6.1,2.5,5.616666666666667,9.8,2.5,16.4
2023-08-18 10:00:00,50.5,16.4,141.0,58.0,3.2,3.5,10,18,8,54.9,58.0,58.8,16.5,16.6,16.9,136.0,134.0,133.0,61.0,62.0,60.0,3.2,3.2,3.3,2.8,2.5,2.5,54.46666666666667,58.0,50.5,55.46666666666666,58.8,50.5,39.895833333333336,58.8,31.2,16.5,16.6,16.4,16.483333333333334,16.9,15.9,15.425,16.9,12.3,137.0,141.0,134.0,138.0,148.0,133.0,138.08333333333334,167.0,99.0,60.333333333333336,62.0,58.0,58.0,62.0,50.0,41.208333333333336,62.0,31.0,3.2,3.2,3.2,3.266666666666666,3.4,3.2,3.0416666666666665,3.4,2.5,2.933333333333335,3.5,2.5,3.1,4.3,2.5,5.629166666666667,9.8,2.5,16.0
